"MSA","pcgmp","pop","finance","prof.tech","ict","management"
"Victoria, TX",33960,112500,0.06464,NA,0.005496,NA
"Vineland-Millville-Bridgeton, NJ",26240,153900,0.106,0.026,0.009903,0.01213
"Virginia Beach-Norfolk-Newport News, VA-NC",36120,1662000,0.1849,NA,0.03531,NA
"Visalia-Porterville, CA",21640,412100,0.1025,NA,0.008748,NA
"Waco, TX",27790,225700,0.1237,0.02902,0.07701,0.005102
"Warner Robins, GA",29930,128000,0.07415,0.08303,NA,0.002089
"Waterloo-Cedar Falls, IA",37260,162800,0.1325,NA,0.01072,NA
"Wausau, WI",36650,128800,0.161,0.03665,NA,0.007627
"Weirton-Steubenville, WV-OH",21520,123800,0.08705,NA,0.01689,NA
"Wenatchee-East Wenatchee, WA",28520,105000,0.1536,0.02639,0.01269,NA
"Wheeling, WV-OH",25830,146700,0.1227,NA,0.01689,NA
"Williamsport, PA",26210,117200,0.08493,0.03287,0.02278,0.002929
"Wilmington, NC",32690,328600,0.2535,NA,0.009869,NA
"Winchester, VA-WV",35030,118700,0.1429,0.03224,0.01299,NA
"Winston-Salem, NC",43060,453700,0.2047,NA,0.02252,NA
"Yakima, WA",25220,230100,0.09545,0.02223,0.004307,0.004824
"York-Hanover, PA",29480,414000,0.1222,0.03622,NA,0.015
"Youngstown-Warren-Boardman, OH-PA",26000,576200,0.1297,0.0267,0.01321,0.007208
"Yuba City, CA",21320,159800,0.15,0.03229,0.008218,NA
"Yuma, AZ",20320,185100,0.1016,0.02287,0.03058,0.002127
